root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:16.065957 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102032:102188, ack 37, win 501, length 156
15:45:16.066155 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102188:102344, ack 37, win 501, length 156
15:45:16.066348 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102344:102500, ack 37, win 501, length 156
15:45:16.066555 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102500:102656, ack 37, win 501, length 156
15:45:16.066748 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102656:102812, ack 37, win 501, length 156
15:45:16.066961 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102812:102968, ack 37, win 501, length 156
15:45:16.067229 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 102968:103124, ack 37, win 501, length 156
15:45:16.067430 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 103124:103280, ack 37, win 501, length 156
15:45:16.067662 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 103280:103436, ack 37, win 501, length 156
15:45:16.067868 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 103436:103592, ack 37, win 501, length 156
15:45:16.068070 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 103592:103748, ack 37, win 501, length 156
15:45:16.068254 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 103748:103904, ack 37, win 501, length 156
15:45:16.068459 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 103904:104060, ack 37, win 501, length 156
15:45:16.068654 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104060:104216, ack 37, win 501, length 156
15:45:16.068857 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104216:104372, ack 37, win 501, length 156
15:45:16.069057 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104372:104528, ack 37, win 501, length 156
15:45:16.069250 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104528:104684, ack 37, win 501, length 156
15:45:16.069439 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104684:104840, ack 37, win 501, length 156
15:45:16.069631 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104840:104996, ack 37, win 501, length 156
15:45:16.069869 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 104996:105152, ack 37, win 501, length 156
15:45:16.070055 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 105152:105308, ack 37, win 501, length 156
15:45:16.070233 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 105308:105464, ack 37, win 501, length 156
15:45:16.070504 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 105464:105620, ack 37, win 501, length 156
15:45:16.070761 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 105620:105776, ack 37, win 501, length 156
15:45:16.070968 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 105776:105932, ack 37, win 501, length 156
15:45:16.071212 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 105932:106088, ack 37, win 501, length 156
15:45:16.071450 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 106088:106244, ack 37, win 501, length 156
15:45:16.071705 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 106244:106400, ack 37, win 501, length 156
15:45:16.071938 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 106400:106556, ack 37, win 501, length 156
15:45:16.072133 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 106556:106712, ack 37, win 501, length 156
15:45:16.072327 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 106712:106868, ack 37, win 501, length 156
15:45:16.072539 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 106868:107024, ack 37, win 501, length 156
15:45:16.072754 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107024:107180, ack 37, win 501, length 156
15:45:16.072991 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107180:107336, ack 37, win 501, length 156
15:45:16.073230 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107336:107492, ack 37, win 501, length 156
15:45:16.073427 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107492:107648, ack 37, win 501, length 156
15:45:16.073643 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107648:107804, ack 37, win 501, length 156
15:45:16.073862 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107804:107960, ack 37, win 501, length 156
15:45:16.074091 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 97508, win 18771, length 0
15:45:16.074123 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 100992, win 18771, length 0
15:45:16.074134 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 102500, win 18773, length 0
15:45:16.074154 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 107960:108116, ack 37, win 501, length 156
15:45:16.074527 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 108116:108584, ack 37, win 501, length 468
15:45:16.074752 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 108584:108740, ack 37, win 501, length 156
15:45:16.074956 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 108740:108896, ack 37, win 501, length 156
15:45:16.075250 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 108896:109052, ack 37, win 501, length 156
15:45:16.075472 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109052:109208, ack 37, win 501, length 156
15:45:16.075742 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109208:109364, ack 37, win 501, length 156
15:45:16.075969 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109364:109520, ack 37, win 501, length 156
15:45:16.076185 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109520:109676, ack 37, win 501, length 156
15:45:16.076371 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109676:109832, ack 37, win 501, length 156
15:45:16.076562 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109832:109988, ack 37, win 501, length 156
15:45:16.076779 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 109988:110144, ack 37, win 501, length 156
15:45:16.076981 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 110144:110300, ack 37, win 501, length 156
15:45:16.077182 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 110300:110456, ack 37, win 501, length 156
15:45:16.077374 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 110456:110612, ack 37, win 501, length 156
15:45:16.077610 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 110612:110768, ack 37, win 501, length 156
15:45:16.077823 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 110768:110924, ack 37, win 501, length 156
15:45:16.078037 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 110924:111080, ack 37, win 501, length 156
15:45:16.078252 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 111080:111236, ack 37, win 501, length 156
15:45:16.078479 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 111236:111392, ack 37, win 501, length 156
15:45:16.078680 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 111392:111548, ack 37, win 501, length 156
15:45:16.078913 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 111548:111704, ack 37, win 501, length 156
15:45:16.079247 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 111704:111860, ack 37, win 501, length 156
15:45:16.079460 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 111860:112016, ack 37, win 501, length 156
15:45:16.079702 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 112016:112172, ack 37, win 501, length 156
15:45:16.079891 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 112172:112328, ack 37, win 501, length 156
15:45:16.080092 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 112328:112484, ack 37, win 501, length 156
15:45:16.080271 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 112484:112640, ack 37, win 501, length 156
15:45:16.080454 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 112640:112796, ack 37, win 501, length 156
15:45:16.080537 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [P.], seq 37:73, ack 100992, win 18771, length 36
15:45:16.080774 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 112796:113072, ack 73, win 501, length 276
15:45:16.080985 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 113072:113228, ack 73, win 501, length 156
15:45:16.081176 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 113228:113384, ack 73, win 501, length 156
15:45:16.081373 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 113384:113540, ack 73, win 501, length 156
15:45:16.081511 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 106244, win 18771, length 0
15:45:16.081572 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 107180, win 18774, length 0
15:45:16.081776 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 113540:113904, ack 73, win 501, length 364
15:45:16.082017 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 113904:114060, ack 73, win 501, length 156
15:45:16.082220 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114060:114216, ack 73, win 501, length 156
15:45:16.082455 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114216:114372, ack 73, win 501, length 156
15:45:16.082647 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114372:114528, ack 73, win 501, length 156
15:45:16.082850 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114528:114684, ack 73, win 501, length 156
15:45:16.083071 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114684:114840, ack 73, win 501, length 156
15:45:16.083282 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114840:114996, ack 73, win 501, length 156
15:45:16.083500 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 114996:115152, ack 73, win 501, length 156
15:45:16.083752 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 115152:115308, ack 73, win 501, length 156
15:45:16.084022 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 115308:115464, ack 73, win 501, length 156
15:45:16.084226 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 115464:115620, ack 73, win 501, length 156
15:45:16.084441 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 115620:115776, ack 73, win 501, length 156
15:45:16.084642 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 115776:115932, ack 73, win 501, length 156
15:45:16.084849 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 115932:116088, ack 73, win 501, length 156
15:45:16.085040 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 116088:116244, ack 73, win 501, length 156
15:45:16.085243 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 116244:116400, ack 73, win 501, length 156
15:45:16.085448 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 116400:116556, ack 73, win 501, length 156
15:45:16.085646 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 116556:116712, ack 73, win 501, length 156
15:45:16.085848 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 116712:116868, ack 73, win 501, length 156
15:45:16.086049 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 116868:117024, ack 73, win 501, length 156
15:45:16.086253 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117024:117180, ack 73, win 501, length 156
15:45:16.086457 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117180:117336, ack 73, win 501, length 156
15:45:16.086654 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117336:117492, ack 73, win 501, length 156
15:45:16.086855 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117492:117648, ack 73, win 501, length 156
15:45:16.087085 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117648:117804, ack 73, win 501, length 156
15:45:16.087290 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117804:117960, ack 73, win 501, length 156
15:45:16.087489 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 117960:118116, ack 73, win 501, length 156
15:45:16.087713 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 118116:118272, ack 73, win 501, length 156
15:45:16.087908 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 118272:118428, ack 73, win 501, length 156
15:45:16.088106 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 118428:118584, ack 73, win 501, length 156
15:45:16.088301 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 118584:118740, ack 73, win 501, length 156
15:45:16.088498 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 118740:118896, ack 73, win 501, length 156
15:45:16.088690 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 118896:119052, ack 73, win 501, length 156
15:45:16.088936 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 119052:119208, ack 73, win 501, length 156
15:45:16.089129 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 119208:119364, ack 73, win 501, length 156
15:45:16.089319 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 119364:119520, ack 73, win 501, length 156
15:45:16.089538 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 119520:119676, ack 73, win 501, length 156
15:45:16.089640 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 110612, win 18774, length 0
15:45:16.089853 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 119676:119936, ack 73, win 501, length 260
15:45:16.090071 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 119936:120092, ack 73, win 501, length 156
15:45:16.090275 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 120092:120248, ack 73, win 501, length 156
15:45:16.090470 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 120248:120404, ack 73, win 501, length 156
15:45:16.090677 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 120404:120560, ack 73, win 501, length 156
15:45:16.090880 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 120560:120716, ack 73, win 501, length 156
15:45:16.091113 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 120716:120872, ack 73, win 501, length 156
15:45:16.091360 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 120872:121028, ack 73, win 501, length 156
15:45:16.091561 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 121028:121184, ack 73, win 501, length 156
15:45:16.091952 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 113904, win 18769, length 0
15:45:16.091987 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 121184:121340, ack 73, win 501, length 156
15:45:16.092242 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 121340:121600, ack 73, win 501, length 260
15:45:16.092441 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 121600:121756, ack 73, win 501, length 156
15:45:16.092631 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 121756:121912, ack 73, win 501, length 156
15:45:16.092832 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 121912:122068, ack 73, win 501, length 156
15:45:16.093018 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 122068:122224, ack 73, win 501, length 156
15:45:16.093202 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 122224:122380, ack 73, win 501, length 156
15:45:16.093396 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 122380:122536, ack 73, win 501, length 156
15:45:16.093576 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 122536:122692, ack 73, win 501, length 156
15:45:16.093776 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 122692:122848, ack 73, win 501, length 156
15:45:16.093991 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 122848:123004, ack 73, win 501, length 156
15:45:16.094184 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123004:123160, ack 73, win 501, length 156
15:45:16.094389 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123160:123316, ack 73, win 501, length 156
15:45:16.094597 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123316:123472, ack 73, win 501, length 156
15:45:16.094837 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123472:123628, ack 73, win 501, length 156
15:45:16.095082 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123628:123784, ack 73, win 501, length 156
15:45:16.095278 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123784:123940, ack 73, win 501, length 156
15:45:16.095469 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 123940:124096, ack 73, win 501, length 156
15:45:16.095704 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 124096:124252, ack 73, win 501, length 156
15:45:16.095914 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 124252:124408, ack 73, win 501, length 156
15:45:16.096112 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 124408:124564, ack 73, win 501, length 156
15:45:16.096300 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 124564:124720, ack 73, win 501, length 156
15:45:16.096498 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 124720:124876, ack 73, win 501, length 156
15:45:16.096697 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 124876:125032, ack 73, win 501, length 156
15:45:16.096900 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 125032:125188, ack 73, win 501, length 156
15:45:16.097094 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 125188:125344, ack 73, win 501, length 156
15:45:16.097190 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 115152, win 18771, length 0
15:45:16.097231 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 119052, win 18769, length 0
15:45:16.097510 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 125344:125708, ack 73, win 501, length 364
15:45:16.097725 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 125708:125864, ack 73, win 501, length 156
15:45:16.097926 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 125864:126020, ack 73, win 501, length 156
15:45:16.098113 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126020:126176, ack 73, win 501, length 156
15:45:16.098330 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126176:126332, ack 73, win 501, length 156
15:45:16.098513 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126332:126488, ack 73, win 501, length 156
15:45:16.098702 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126488:126644, ack 73, win 501, length 156
15:45:16.098897 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126644:126800, ack 73, win 501, length 156
15:45:16.099128 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126800:126956, ack 73, win 501, length 156
15:45:16.099316 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 126956:127112, ack 73, win 501, length 156
15:45:16.099504 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 127112:127268, ack 73, win 501, length 156
15:45:16.099738 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 127268:127424, ack 73, win 501, length 156
15:45:16.099937 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 127424:127580, ack 73, win 501, length 156
15:45:16.100135 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 127580:127736, ack 73, win 501, length 156
